soc_code,soc_title,employment,wage_p10,wage_median,wage_p90,projected_growth_pct_2023_2033,typical_entry_education,reference_period,data_status
15-2031,Operations Research Analysts,109660,50020,83640,146830,23,Bachelor's degree,OEWS May 2023; EP 2023-2033,Approximate public (verify)
15-2051,Data Scientists,192710,61070,108020,184090,36,Bachelor's degree,OEWS May 2023; EP 2023-2033,Approximate public (verify)
15-1221,Computer and Information Research Scientists,36600,82240,145080,233110,26,Master's degree,OEWS May 2023; EP 2023-2033,Approximate public (verify)
15-1243,Database Architects,61430,79140,134700,200690,9,Bachelor's degree,OEWS May 2023; EP 2023-2033,Approximate public (verify)
15-1252,Software Developers,1656880,77020,132270,208620,17,Bachelor's degree,OEWS May 2023; EP 2023-2033,Approximate public (verify)
15-1241,Computer Network Architects,175770,77990,129840,197000,13,Bachelor's degree,OEWS May 2023; EP 2023-2033,Approximate public (verify)
15-1299,"Computer Occupations, All Other",438060,55180,104420,168900,10,Bachelor's degree,OEWS May 2023; EP 2023-2033,Approximate public (verify)
15-1253,Software Quality Assurance Analysts and Testers,205590,58120,101800,162520,17,Bachelor's degree,OEWS May 2023; EP 2023-2033,Approximate public (verify)
15-1254,Web Developers,85350,44760,84960,153550,8,Bachelor's degree,OEWS May 2023; EP 2023-2033,Approximate public (verify)
15-1242,Database Administrators,78110,54830,101510,157760,9,Bachelor's degree,OEWS May 2023; EP 2023-2033,Approximate public (verify)
15-1212,Information Security Analysts,175350,69660,120360,186420,33,Bachelor's degree,OEWS May 2023; EP 2023-2033,Approximate public (verify)
15-1211,Computer Systems Analysts,511310,63330,103800,161980,11,Bachelor's degree,OEWS May 2023; EP 2023-2033,Approximate public (verify)
13-2051,Financial and Investment Analysts,331530,60540,99890,176220,9,Bachelor's degree,OEWS May 2023; EP 2023-2033,Approximate public (verify)
13-1161,Market Research Analysts and Marketing Specialists,899250,40900,74680,138730,8,Bachelor's degree,OEWS May 2023; EP 2023-2033,Approximate public (verify)
13-1082,Project Management Specialists,834350,55750,98580,159150,7,Bachelor's degree,OEWS May 2023; EP 2023-2033,Approximate public (verify)
15-2041,Statisticians,30870,59920,104110,169320,11,Master's degree,OEWS May 2023; EP 2023-2033,Approximate public (verify)
