soc_code,industry,share_pct,data_status
15-2031,Finance & Insurance,24,Demo estimate
15-2031,"Professional, Scientific & Technical Services",22,Demo estimate
15-2031,Federal Government,14,Demo estimate
15-2031,Management of Companies,12,Demo estimate
15-2031,Manufacturing,10,Demo estimate
15-2031,Transportation & Warehousing,8,Demo estimate
15-2031,Other,10,Demo estimate
15-2051,"Professional, Scientific & Technical Services",30,Demo estimate
15-2051,Finance & Insurance,20,Demo estimate
15-2051,Information,14,Demo estimate
15-2051,Management of Companies,10,Demo estimate
15-2051,Health Care,8,Demo estimate
15-2051,Manufacturing,6,Demo estimate
15-2051,Other,12,Demo estimate
15-1221,"Professional, Scientific & Technical Services",38,Demo estimate
15-1221,Information,16,Demo estimate
15-1221,Federal Government,14,Demo estimate
15-1221,Educational Services,10,Demo estimate
15-1221,Manufacturing,10,Demo estimate
15-1221,Other,12,Demo estimate
15-1243,"Professional, Scientific & Technical Services",36,Demo estimate
15-1243,Finance & Insurance,16,Demo estimate
15-1243,Information,12,Demo estimate
15-1243,Management of Companies,10,Demo estimate
15-1243,Health Care,8,Demo estimate
15-1243,Other,18,Demo estimate
15-1252,"Professional, Scientific & Technical Services",38,Demo estimate
15-1252,Information,16,Demo estimate
15-1252,Finance & Insurance,10,Demo estimate
15-1252,Manufacturing,10,Demo estimate
15-1252,Management of Companies,8,Demo estimate
15-1252,Other,18,Demo estimate
15-1241,"Professional, Scientific & Technical Services",30,Demo estimate
15-1241,Information,22,Demo estimate
15-1241,Finance & Insurance,10,Demo estimate
15-1241,Management of Companies,8,Demo estimate
15-1241,Educational Services,6,Demo estimate
15-1241,Other,24,Demo estimate
15-1299,"Professional, Scientific & Technical Services",34,Demo estimate
15-1299,Information,12,Demo estimate
15-1299,Federal Government,12,Demo estimate
15-1299,Finance & Insurance,10,Demo estimate
15-1299,Manufacturing,8,Demo estimate
15-1299,Other,24,Demo estimate
15-1253,"Professional, Scientific & Technical Services",40,Demo estimate
15-1253,Information,14,Demo estimate
15-1253,Finance & Insurance,12,Demo estimate
15-1253,Manufacturing,8,Demo estimate
15-1253,Management of Companies,8,Demo estimate
15-1253,Other,18,Demo estimate
15-1254,"Professional, Scientific & Technical Services",36,Demo estimate
15-1254,Information,14,Demo estimate
15-1254,Retail Trade,8,Demo estimate
15-1254,Educational Services,8,Demo estimate
15-1254,Finance & Insurance,6,Demo estimate
15-1254,Other,28,Demo estimate
15-1242,"Professional, Scientific & Technical Services",28,Demo estimate
15-1242,Finance & Insurance,14,Demo estimate
15-1242,Educational Services,12,Demo estimate
15-1242,Health Care,10,Demo estimate
15-1242,Government,10,Demo estimate
15-1242,Other,26,Demo estimate
15-1212,"Professional, Scientific & Technical Services",34,Demo estimate
15-1212,Finance & Insurance,18,Demo estimate
15-1212,Government,12,Demo estimate
15-1212,Management of Companies,10,Demo estimate
15-1212,Information,8,Demo estimate
15-1212,Other,18,Demo estimate
15-1211,"Professional, Scientific & Technical Services",34,Demo estimate
15-1211,Finance & Insurance,16,Demo estimate
15-1211,Government,12,Demo estimate
15-1211,Health Care,10,Demo estimate
15-1211,Management of Companies,8,Demo estimate
15-1211,Other,20,Demo estimate
13-2051,Finance & Insurance,46,Demo estimate
13-2051,"Professional, Scientific & Technical Services",16,Demo estimate
13-2051,Management of Companies,14,Demo estimate
13-2051,Manufacturing,8,Demo estimate
13-2051,Government,4,Demo estimate
13-2051,Other,12,Demo estimate
13-1161,"Professional, Scientific & Technical Services",28,Demo estimate
13-1161,Management of Companies,10,Demo estimate
13-1161,Retail Trade,10,Demo estimate
13-1161,Information,10,Demo estimate
13-1161,Finance & Insurance,8,Demo estimate
13-1161,Other,34,Demo estimate
13-1082,"Professional, Scientific & Technical Services",30,Demo estimate
13-1082,Construction,10,Demo estimate
13-1082,Finance & Insurance,10,Demo estimate
13-1082,Government,10,Demo estimate
13-1082,Manufacturing,10,Demo estimate
13-1082,Other,30,Demo estimate
15-2041,Federal Government,24,Demo estimate
15-2041,"Professional, Scientific & Technical Services",22,Demo estimate
15-2041,Educational Services,18,Demo estimate
15-2041,Health Care,12,Demo estimate
15-2041,Finance & Insurance,10,Demo estimate
15-2041,Other,14,Demo estimate
