soc_code,location_id,employment,wage_p10,wage_p25,wage_median,wage_p75,wage_p90,location_quotient,reference_period,data_status
15-2031,us,109660,50020,68510,83640,112080,146830,1.0,May 2023 basis,Approximate public (verify); p25/p75 interpolated
15-2031,chicago,3560,51020,69880,85310,114320,149770,1.1,May 2023 basis,Demo estimate
15-2031,new_york,7880,59300,81220,99160,132870,174080,1.15,May 2023 basis,Demo estimate
15-2031,san_francisco,3120,70520,96590,117920,158010,207000,1.8,May 2023 basis,Demo estimate
15-2031,seattle,2220,62420,85500,104380,139870,183240,1.5,May 2023 basis,Demo estimate
15-2031,austin,1280,51520,70570,86150,115440,151230,1.3,May 2023 basis,Demo estimate
15-2031,boston,3090,60340,82650,100900,135210,177140,1.55,May 2023 basis,Demo estimate
15-2031,dallas,2940,49520,67820,82800,110950,145360,1.05,May 2023 basis,Demo estimate
15-2031,atlanta,2230,48530,66470,81150,108740,142450,1.1,May 2023 basis,Demo estimate
15-2031,washington_dc,3370,59820,81940,100030,134040,175610,1.45,May 2023 basis,Demo estimate
15-2051,us,192710,61070,86890,108020,142250,184090,1.0,May 2023 basis,Approximate public (verify); p25/p75 interpolated
15-2051,chicago,6250,62290,88630,110180,145100,187770,1.1,May 2023 basis,Demo estimate
15-2051,new_york,13850,72400,103020,128070,168660,218260,1.15,May 2023 basis,Demo estimate
15-2051,san_francisco,5480,86100,122500,152290,200550,259530,1.8,May 2023 basis,Demo estimate
15-2051,seattle,3900,76220,108440,134810,177530,229740,1.5,May 2023 basis,Demo estimate
15-2051,austin,2250,62900,89500,111260,146520,189610,1.3,May 2023 basis,Demo estimate
15-2051,boston,5440,73670,104830,130320,171620,222090,1.55,May 2023 basis,Demo estimate
15-2051,dallas,5160,60460,86020,106940,140830,182250,1.05,May 2023 basis,Demo estimate
15-2051,atlanta,3920,59250,84300,104800,138010,178600,1.1,May 2023 basis,Demo estimate
15-2051,washington_dc,5920,73040,103920,129190,170130,220170,1.45,May 2023 basis,Demo estimate
15-1221,us,36600,82240,116800,145080,184690,233110,1.0,May 2023 basis,Approximate public (verify); p25/p75 interpolated
15-1221,chicago,920,82210,116760,145020,184620,233020,0.85,May 2023 basis,Demo estimate
